================================================================================
TRAINING METRICS
================================================================================

Model: baseline_cnn_improved_no_masks
Date: 2026-01-10 21:20:27

================================================================================
SUMMARY STATISTICS
================================================================================

Total Epochs: 150

Training Metrics:
  Final Loss: 0.465884
  Best Loss: 0.465884 (Epoch 150)
  Final Accuracy: 83.41%
  Best Accuracy: 83.41% (Epoch 150)
  Final Top-5 Accuracy: 96.70%
  Best Top-5 Accuracy: 96.77% (Epoch 146)

Validation Metrics:
  Final Loss: 0.493447
  Best Loss: 0.443479 (Epoch 149)
  Final Accuracy: 83.55%
  Best Accuracy: 85.83% (Epoch 149)
  Final Top-5 Accuracy: 96.74%
  Best Top-5 Accuracy: 97.64% (Epoch 139)

================================================================================
DETAILED EPOCH-BY-EPOCH METRICS
================================================================================

Epoch    Train Loss   Train Acc    Train Top-5    Val Loss     Val Acc      Val Top-5      LR          
134      0.516322     82.00        96.04          0.572570     80.37        96.42          5.00e-04    
135      0.513216     81.65        96.16          0.519462     83.88        96.82          5.00e-04    
136      0.517336     81.81        96.54          0.575454     80.29        96.91          5.00e-04    
137      0.565924     80.48        95.65          0.475500     83.31        97.48          5.00e-04    
138      0.535711     81.44        96.19          0.523124     84.04        97.07          5.00e-04    
139      0.496076     82.25        96.42          0.477214     84.04        97.64          5.00e-04    
140      0.514784     81.69        96.46          0.515187     83.14        96.91          5.00e-04    
141      0.525372     81.37        95.83          0.465784     84.85        97.48          5.00e-04    
142      0.515939     81.77        95.95          0.502780     83.88        96.99          5.00e-04    
143      0.531549     82.00        95.65          0.536142     82.98        96.25          5.00e-04    
144      0.504634     82.31        96.56          0.572232     82.08        96.17          5.00e-04    
145      0.523508     81.63        96.46          0.535430     83.39        96.50          5.00e-04    
146      0.494583     82.59        96.77          0.581025     82.74        96.01          5.00e-04    
147      0.488368     82.82        96.11          0.499299     84.20        96.82          5.00e-04    
148      0.481153     82.82        96.44          0.468837     83.96        97.07          5.00e-04    
149      0.466108     83.33        96.77          0.443479     85.83        97.56          5.00e-04    
150      0.465884     83.41        96.70          0.493447     83.55        96.74          5.00e-04    

================================================================================
END OF METRICS
================================================================================
